@relation SMILEfeatures

@attribute sexo {m,f}
@attribute F0finEnv_sma_quartile2 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_linregc2 numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute F0final_sma_linregc2 numeric
@attribute F0final_sma_de_percentile99.0 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_quartile3 numeric
@attribute mfcc_sma[11]_quartile2 numeric
@attribute mfcc_sma[11]_quartile1 numeric
@attribute voicingFinalUnclipped_sma_quartile3 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute F0final_sma_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute mfcc_sma[14]_amean numeric
@attribute F0final_sma_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute mfcc_sma[14]_linregc2 numeric
@attribute mfcc_sma[14]_quartile2 numeric
@attribute mfcc_sma[14]_quartile3 numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute mfcc_sma[12]_quartile1 numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute mfcc_sma[12]_quartile2 numeric

@data

?,246.1734,214.6919,234.1921,227.5743,205.8506,252.983,287.8282,263.133,174.9506,288.3675,0.848452,0.848452,292.277,247.7172,73.36928,-2.551896,4.830952,-1.508411,-10.23968,0.769179,-20.66737,66.46709,-7.011968,19.63169,-12.94922,3827.671,-4.434124,0.019844,-15.89739,-12.82691,-5.710283,-6.315176,-10.23989,-25.02759,-4.013961
m,155.5559,143.6812,151.1718,155.8189,146.1227,167.1248,150.7247,163.1215,144.5008,180.3859,0.810438,0.810438,181.0828,152.1812,44.7793,3.340535,7.018955,1.256516,-2.937693,0.781333,-15.22143,35.076,-2.766296,35.5028,-9.792683,1217.957,-7.185765,0.028856,-12.32986,-9.484562,-3.83965,-6.393609,-13.89464,-10.72361,-7.819639
f,219.1443,200.402,219.9022,216.9819,207.109,238.0531,243.1323,238.2531,192.7946,268.7913,0.236751,0.871868,272.2428,236.7803,54.24657,-25.63025,-17.91012,-25.64636,-31.12863,0.845289,-17.89535,48.60656,-28.15766,-2.005817,-13.89485,2067.084,5.365443,0.014936,-13.97984,-12.61575,-8.531678,1.683718,-0.411117,-60.85027,5.971889
m,0,0,0,0,0,0,0,0,0,0,0.68684,0.68684,0,0,0,14.72434,22.40182,13.47057,7.245932,0.635055,-0.953505,0,16.73371,36.86052,4.671278,0,-10.0772,0.029467,1.352067,4.933467,10.45422,-8.97506,-17.7728,-2.496319,-9.425894
f,203.2852,194.2584,195.9184,190.8838,166.7375,205.815,176.2599,208.0902,133.0262,236.9767,0.821161,0.821161,245.0427,170.128,61.51022,-3.982583,3.188221,-3.603876,-12.20166,0.740757,-12.68889,55.66054,-7.477622,18.372,-7.681328,3094.193,-5.212515,0.017665,-7.527203,-8.15403,-3.297396,-0.753359,-11.57687,-32.11837,-5.510038
m,136.9667,127.1555,138.1257,133.2902,124.5314,147.4352,121.8165,147.4048,111.6164,183.4852,0.812257,0.812257,188.153,115.0823,41.96165,3.857499,10.6115,3.545302,-3.564616,0.759332,-6.619492,37.61187,5.901319,26.83464,-2.862331,1384.657,-4.240304,0.023084,-1.348509,-2.278933,1.449218,-6.092138,-10.74056,-19.43448,-4.895426
f,185.1854,143.9809,180.7862,185.3685,180.0148,215.1495,152.6064,208.2958,141.4907,296.4824,0.842129,0.842129,298.4401,195.9075,55.59534,-13.3847,-1.551471,-12.60444,-24.96377,0.784907,-19.14277,57.65096,-12.94861,15.24746,-13.52193,3238.568,1.373854,0.014403,-13.31273,-12.91709,-7.564325,-0.856555,-6.879997,-47.13735,0.150176
m,110.0092,104.5989,104.0737,86.95718,84.49628,109.7108,81.0806,124.6847,45.10509,131.7221,0.757167,0.757167,134.0972,79.63602,35.47916,5.135841,10.38402,5.203451,-0.825247,0.684392,-1.18105,32.68389,4.816334,26.58675,1.69766,1060.175,-7.914361,0.021727,0.129508,2.557741,6.100511,-11.9396,-15.69203,-17.99419,-6.818675
m,195.249,182.5778,195.6048,187.4263,179.2894,207.9574,205.7252,207.8098,179.748,223.2062,0.830096,0.830096,226.685,187.2607,55.29834,2.067582,9.417238,0.883776,-5.860037,0.787724,-14.3158,43.96155,-1.839765,26.02448,-9.764951,1911.216,-18.11484,0.013218,-13.47536,-9.328898,-4.675259,-24.18914,-25.59055,-16.36544,-15.81811
